Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2005,8,8,1.2
Adelaide Oval,23011,2005,8,9,3.2
Adelaide Oval,23011,2005,8,10,6
Adelaide Oval,23011,2005,8,11,2.4
Adelaide Oval,23011,2005,8,12,1
Adelaide Oval,23011,2005,8,13,0
Adelaide Oval,23011,2005,8,14,0
Adelaide Oval,23011,2005,8,15,5
Adelaide Oval,23011,2005,8,16,0
Adelaide Oval,23011,2005,8,17,0
Adelaide Oval,23011,2005,8,18,0.2
Adelaide Oval,23011,2005,8,19,7
Adelaide Oval,23011,2005,8,20,11
Adelaide Oval,23011,2005,8,21,12
Adelaide Oval,23011,2005,8,22,2
Adelaide Oval,23011,2005,8,23,1
Adelaide Oval,23011,2005,8,24,0
Adelaide Oval,23011,2005,8,25,0
Adelaide Oval,23011,2005,8,26,0
Adelaide Oval,23011,2005,8,27,0
Adelaide Oval,23011,2005,8,28,0
Adelaide Oval,23011,2005,8,29,0
Adelaide Oval,23011,2005,8,30,12
Adelaide Oval,23011,2005,8,31,2.6
Adelaide Oval,23011,2005,9,1,0.2
Adelaide Oval,23011,2005,9,2,0
Adelaide Oval,23011,2005,9,3,6
Adelaide Oval,23011,2005,9,4,18
Adelaide Oval,23011,2005,9,5,0
Adelaide Oval,23011,2005,9,6,0
Adelaide Oval,23011,2005,9,7,0.8
Adelaide Oval,23011,2005,9,8,0
Adelaide Oval,23011,2005,9,9,0
Adelaide Oval,23011,2005,9,10,0
Adelaide Oval,23011,2005,9,11,4
Adelaide Oval,23011,2005,9,12,1.4
Adelaide Oval,23011,2005,9,13,0
Adelaide Oval,23011,2005,9,14,1.4
Adelaide Oval,23011,2005,9,15,1.6
Adelaide Oval,23011,2005,9,16,0.4
Adelaide Oval,23011,2005,9,17,4.8
Adelaide Oval,23011,2005,9,18,0
Adelaide Oval,23011,2005,9,19,1
Adelaide Oval,23011,2005,9,20,1.6
Adelaide Oval,23011,2005,9,21,0
Adelaide Oval,23011,2005,9,22,1.6
Adelaide Oval,23011,2005,9,23,2.2
Adelaide Oval,23011,2005,9,24,0
Adelaide Oval,23011,2005,9,25,1.2
Adelaide Oval,23011,2005,9,26,9.4
Adelaide Oval,23011,2005,9,27,0
Adelaide Oval,23011,2005,9,28,2.2
Adelaide Oval,23011,2005,9,29,2
Adelaide Oval,23011,2005,9,30,0
Adelaide Oval,23011,2005,10,1,0
Adelaide Oval,23011,2005,10,2,0
Adelaide Oval,23011,2005,10,3,0
Adelaide Oval,23011,2005,10,4,0
Adelaide Oval,23011,2005,10,5,0
Adelaide Oval,23011,2005,10,6,1
Adelaide Oval,23011,2005,10,7,17.8
Adelaide Oval,23011,2005,10,8,
Adelaide Oval,23011,2005,10,9,22
